Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
WFC,Wells Fargo & Company,87.54,USD,-1.4411168655708029,14585950,1.2638385641635606,264720894973.80573,USD,12.718291442684876,6.883,USD,18.045551210811553,2.02657059220896,Finance,Buy
SNDK,Sandisk Corporation,1786.85,USD,8.880574732955134,18034815,1.1683978308509013,264614198617.44296,USD,24.512789699099795,72.8946,USD,,0,Electronic technology,Buy
MUFG,"Mitsubishi UFJ Financial Group, Inc.",23.03,USD,-0.13009540329573974,3075972,1.1412602544150496,258635746300,USD,15.009124087591243,1.5344,USD,43.000931966449215,2.10699479618387,Finance,Buy
TXN,Texas Instruments Incorporated,282.91,USD,1.1910723227698838,5993737,1.0057279002403012,258366888927.54947,USD,43.039264904994454,6.5733,USD,20.161231354197135,2.03161885685671,Electronic technology,Buy
ANET,"Arista Networks, Inc.",201.8,USD,1.4988431747309217,5683904,0.6179732823806263,254515135547.3866,USD,63.62317926729302,3.1718,USD,24.726700747149035,0,Electronic technology,Strong buy
SHEL,Shell PLC,91.62,USD,1.2711396042887206,4679652,0.8315504460364923,248391641467.23297,USD,10.118837250397599,9.0544,USD,103.12731351654516,3.26870785895877,Energy minerals,Buy
AZN,AstraZeneca PLC,156.89,USD,0.28124001278363553,3361580,0.606530522825168,243318480003.00635,USD,23.74546545269143,6.607156230000001,USD,16.99983418892952,2.14310645724258,Health technology,Strong buy
SAP,SAP SE,207.84,USD,-0.06250901572341946,2807343,1.053458652202987,243239787342.4275,USD,26.12893492909585,7.9544,USD,31.651770936775904,1.02664278501707,Technology services,Strong buy
C,"Citigroup, Inc.",138.51,USD,-0.5885308260963336,8949818,1.0424949865454842,232341769730.5101,USD,14.951586264964,9.2639,USD,36.96699982257968,1.72252924711117,Finance,Buy
AXP,American Express Company,336.21,USD,-1.8307638402242576,2533217,1.1607470886897016,227045920000.5528,USD,20.39861667273389,16.482,USD,15.718377892608398,1.03363700070077,Finance,Buy
AMGN,Amgen Inc.,419.38,USD,1.0043110715059886,2880592,1.024497202399292,226730251480.01172,USD,26.051683438936514,16.098,USD,31.702528020944104,2.36025143903085,Health technology,Buy
STX,Seagate Technology Holdings PLC,994.79,USD,2.193252794214323,4330514,0.9032132303823054,225463698628.55234,USD,71.70174426985729,13.874,USD,104.84275800974459,0.302021696252465,Electronic technology,Buy
BHP,BHP Group Limited,88.37,USD,1.8322194053929517,3357820,1.3314743506345323,220714996700.3393,USD,21.916619131469957,4.0321,USD,-9.901233464426177,3.03065222401475,Non-energy minerals,Neutral
SAN,"Banco Santander, S.A. Sponsored",14.59,USD,-1.1517615176151756,15344788,1.043807416918413,218882128033.89453,USD,11.496335986131905,1.2691,USD,38.608562691131496,1.35752032520325,Finance,Buy
LIN,Linde plc,474.33,USD,-1.7421386253469828,1745849,0.835547414405576,218656716564.76874,USD,30.62525019046758,15.4882,USD,10.101512738853511,1.28433525293118,Process industries,Buy
CRWD,"CrowdStrike Holdings, Inc.",213.9,USD,-1.4058538833832603,6411994,0.8809078998113877,217805656359.7917,USD,,-0.0471,USD,73.039496279336,0,Technology services,Buy
TMO,Thermo Fisher Scientific Inc,585.51,USD,-0.4725560522871327,887298,0.5355894337075144,216490724131.05173,USD,31.495626728061023,18.5902,USD,7.601479432074029,0.305971544646348,Health technology,Strong buy
IBM,International Business Machines Corporation,228.85,USD,-2.3344144759303513,7564316,1.3113032268447853,215607464045.12354,USD,20.31351245794832,11.2659,USD,82.7337312658146,2.8721406623421,Technology services,Buy
APH,Amphenol Corporation,170.87,USD,2.250014960205847,6303534,1.118866246265618,210679894919.0506,USD,42.77631743647515,3.9945,USD,59.36564931178935,0.547543534199031,Electronic technology,Strong buy
TD,Toronto Dominion Bank (The),124.34,USD,-0.01608234158893215,1005095,0.48297368729347623,210071929861.6014,USD,19.939724749050367,6.235793200000001,USD,-10.785457988270956,2.50854527547651,Finance,Buy
SFTBY,Softbank Group Corp,18.17,USD,1.2256267409470887,2999197,0.6364452890778477,205575944669.34912,USD,6.427535462874527,2.8269,USD,182.3229801258364,0.121632311977716,Miscellaneous,Buy
MRVL,"Marvell Technology, Inc.",234.33,USD,5.544545536438159,21113493,1.0373008467445377,205218348786.69238,USD,80.07449425915802,2.9264,USD,,0.10809836951626,Electronic technology,Strong buy
NVO,Novo Nordisk A/S,44.88,USD,-2.2009152320767007,14626366,0.9409713332079851,201702176222.28723,USD,10.96827801945354,4.0918,USD,12.752824469550845,2.68168228372194,Health technology,Buy
VZ,Verizon Communications Inc.,48.06,USD,-0.8663366336633553,14466192,0.7054050169147191,199678503388.41092,USD,12.515625000000002,3.84,USD,-10.788960133816568,5.76526402640264,Communications,Buy
TTE,TotalEnergies SE,88.63,USD,0.3396354579418059,1425846,1.1637642060271214,197838796576.13327,USD,11.171706986493719,7.933433996000001,USD,30.520378387619672,4.48667194510425,Energy minerals,Buy
TMUS,"T-Mobile US, Inc.",180.12,USD,-1.3635616888450846,4343209,1.070239918106808,193209614796.23196,USD,18.849679768931306,9.5556,USD,-9.885985345014564,2.1576036361645,Communications,Buy
SHOP,Shopify Inc.,148.65,USD,-3.6741835147744863,7748265,0.5467538657979684,191259640441.34433,USD,102.40085750815626,1.4516479999999998,USD,-19.900471515478106,0,Commercial services,Buy
SCHW,Charles Schwab Corporation (The),110.58,USD,-0.4590872265730535,6236794,0.945151245030499,191229934667.46207,USD,20.108379400640093,5.4992,USD,48.05481517378779,1.06220181834549,Finance,Buy
ABT,Abbott Laboratories,110.37,USD,-0.7910112359550522,11462155,1.6064865129418218,190982404907.31186,USD,35.674574956364346,3.0938,USD,-61.310089540293134,2.22921348314607,Health technology,Buy
ADI,"Analog Devices, Inc.",390.28,USD,0.228562623590741,3122795,1.007191587801635,190100335613.4667,USD,57.99797895737978,6.7292,USD,83.19222497481829,1.07347389506664,Electronic technology,Buy
PEP,"PepsiCo, Inc.",138.24,USD,-1.811208182399306,6856112,1.1064251265170655,188682589127.26874,USD,18.13054939866487,7.6247,USD,39.01002734731084,4.08232118758435,Consumer non-durables,Neutral
MCD,McDonald's Corporation,265.53,USD,-2.6756588351720896,4911774,1.0295162819874233,187900032801.9442,USD,21.56536287440712,12.3128,USD,5.462051716901772,2.69398526554998,Consumer services,Buy
KXIAY,KIOXIA HLDGS CORP,38.75,USD,13.436768149882916,1749098,0.901701114118446,184800821799.4059,USD,24.494310998735777,1.582,USD,480.3374908290536,0,Electronic technology,No rating
WDC,Western Digital Corporation,536.01,USD,5.347877358490562,9305286,1.0172189821067554,184753063482.5271,USD,22.171986879061514,24.1751,USD,370.6348433819378,0.0982704402515723,Electronic technology,Buy
BA/PA,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",69.52,USD,-2.3183925811437485,989211,1.9574471705882783,183105015322,USD,31.66044266326623,2.1958,USD,,0,Electronic technology,No rating
NEE,"NextEra Energy, Inc.",86.22,USD,0.034806822137140196,9556926,0.9247451437513764,179853051661.91718,USD,19.345284839238033,4.4569,USD,55.29809401024427,2.76064508643694,Utilities,Buy
DIS,Walt Disney Company (The),103.5,USD,-3.1352363125877343,7635016,0.684933900742691,178712090526.2892,USD,21.348129202590652,4.8482,USD,-23.99034240561896,1.40383715489003,Consumer services,Strong buy
BA,Boeing Company (The),225.95,USD,-2.4690292226011135,5020273,0.9620531673724726,178584098985.65158,USD,102.90099280444484,2.1958,USD,,0,Electronic technology,Buy
UNP,Union Pacific Corporation,299.9,USD,2.1179515118496224,2077009,0.9397099715599841,178163238152.87656,USD,24.28595722626673,12.3487,USD,7.263409337676438,1.87959684009807,Transportation,Buy
ETN,"Eaton Corporation, PLC",455.4,USD,0.8615534539655791,1605434,0.7954442926049278,176877361045.9343,USD,46.33558194194316,9.8283,USD,-1.1197633707593861,0.94793027839915,Producer manufacturing,Buy
BX,Blackstone Inc.,140.57,USD,-2.334468144236791,3763540,0.7860229376745259,174564999380.3353,USD,31.534199250734684,4.4577,USD,20.325532431775855,3.45306746335024,Finance,Buy
RYCEY,Rolls Royce Holdings plc,21.12,USD,1.7831325301204868,1429633,0.8366333727900406,173600897496.54297,USD,43.51947249124253,0.4853,USD,-45.126639529624605,0.674748539132101,Electronic technology,Strong buy
GILD,"Gilead Sciences, Inc.",138.92,USD,0.40474125469787064,3940375,0.5416168467824891,172254560212.81235,USD,,-2.6564,USD,-152.8405474220242,2.32726221451286,Health technology,Buy
QCOM,QUALCOMM Incorporated,162.18,USD,-2.1774534049098166,8967634,0.9583305508232847,170326924850.4798,USD,18.769964353502154,8.6404,USD,-16.66602368735774,2.16538995114301,Electronic technology,Neutral
WELL,Welltower Inc.,235.3,USD,-0.09341032608695604,2516934,0.7419302577881727,169591286065.62585,USD,,-0.5499,USD,-145.4237568148026,1.25679347826087,Finance,Buy
T,AT&T Inc.,24.68,USD,-0.8437123342707948,36794810,0.8518321207023567,169116875970.42508,USD,8.161645557062073,3.0239,USD,72.38057234066811,4.45962233828847,Communications,Buy
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,26.24,USD,-0.30395136778116205,1007534,0.6571527208563582,166982800950.6406,USD,15.078726583151361,1.7402,USD,42.091940883481676,1.82984042553192,Finance,Buy
TJX,"TJX Companies, Inc. (The)",150.85,USD,-0.8283479061205832,6908459,1.3513899348521923,166644669632.02255,USD,29.303211018085044,5.1479,USD,21.384107521810904,1.15377029781079,Retail trade,Buy
RIO,Rio Tinto Plc,97.21,USD,1.5990802675585145,2151889,0.992635207856172,163952505866.787,USD,13.191749219704166,7.369,USD,16.873641972371562,4.1753762541806,Non-energy minerals,Buy
SCCO,Southern Copper Corporation,192.04,USD,4.024700720437668,1220630,1.1353347113988381,162147762564.74405,USD,28.762712118262012,6.6767,USD,55.917519032273155,1.93709289854287,Non-energy minerals,Sell
DE,Deere & Company,599.92,USD,-1.4666995154800138,1245924,1.4707960703031466,161940861889.7104,USD,33.996157921877746,17.6467,USD,-14.629402971355596,1.06430155210643,Producer manufacturing,Buy
UBS,UBS Group AG Registered,53.44,USD,-0.3542793212754145,990677,0.7234028632580581,161812194352.2388,USD,18.545400467743175,2.8815770300000003,USD,40.501481459897725,1.96686567164179,Finance,Neutral
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,28.8,USD,0.3484320557491339,2453646,1.214187617270258,160629697521.558,USD,12.783523458653292,2.2529,USD,14.331387972595788,3.02592334494774,Finance,Neutral
IBKR,"Interactive Brokers Group, Inc.",94.33,USD,2.465783184879422,4632739,0.9860478605599968,160484496741.66998,USD,37.5547416195557,2.5118,USD,31.735459170294224,0.355746252444058,Finance,Buy
SMERY,Siemens Energy AG,37.62,USD,1.2106537530266228,269336,0.5405725449535477,158349014604.9,USD,16.55299863598363,2.2727,USD,53.65424920559798,1.47066297748885,Producer manufacturing,Buy
BUD,Anheuser-Busch Inbev SA Sponsored,77.2,USD,-3.1732095823404,1557856,0.8978955199114056,157435312108.0905,USD,16.628613277043037,4.6426,USD,32.309270711619014,1.25698106108115,Consumer non-durables,Buy
CRM,"Salesforce, Inc.",190.97,USD,-2.6706080220172312,14378800,1.2621905589799989,156404435352.14325,USD,22.106079548085383,8.6388,USD,35.12270658345455,0.872534529330819,Technology services,Buy
BKNG,Booking Holdings Inc. Common Stock,204.76,USD,-3.44242195605018,5954908,0.97387423836502,153852668009.04913,USD,22.646935209149024,9.0414,USD,57.21166385561022,0.758275959634066,Consumer services,Strong buy
COP,ConocoPhillips,127.56,USD,0.6152389966871755,6963677,0.9917168716950783,153242613139.02225,USD,16.900064918719114,7.5479,USD,1.262443317502483,2.60293421675343,Energy minerals,Buy
UBER,"Uber Technologies, Inc.",74.99,USD,-1.263989466754454,18084893,0.7652988180127855,153171581793.35245,USD,16.483130014287283,4.5495,USD,-22.807404516687306,0,Transportation,Strong buy
PFE,"Pfizer, Inc.",26.87,USD,0.29861888764465044,29261200,0.6924785744769144,153150227875.77118,USD,35.57997881355932,0.7552,USD,-59.82765040693653,6.42030608435984,Health technology,Neutral
GLW,Corning Incorporated,173.21,USD,4.349659618049279,11381069,1.086845370745289,149201073361.71268,USD,79.44683973947345,2.1802,USD,130.83112758073054,0.674739442135068,Electronic technology,Buy
SONY,Sony Group Corporation,23.7,USD,-2.4289831206257713,4180910,0.8446990327715125,145458815949.9008,USD,,-0.2384,USD,-118.8652370024531,0.455631947303417,Electronic technology,Strong buy
DHR,Danaher Corporation,202.63,USD,0.08891084218325851,2982248,0.899809939254912,142446068050.20947,USD,35.97769925960121,5.6321,USD,19.62321056879488,0.711286737466041,Health technology,Strong buy
ISRG,"Intuitive Surgical, Inc.",390.33,USD,-1.0595422169273294,2157790,0.7047532853991313,137895022973.61166,USD,44.73645001203425,8.7251,USD,21.753509530853165,0,Health technology,Buy
